"","adj_token"
"1","ox"
"2","plastic"
"3","bible"
"4","joint"
"5","giant"
"6","executive"
"7","orange"
"8","red"
"9","forty"
"10","rash"
"11","yellow"
"12","directory"
"13","print"
"14","sweet"
"15","dish"
"16","dark"
"17","key"
"18","brandy"
"19","outhouse"
"20","furniture"
"21","pelican"
"22","fridge"
"23","thick"
"24","burglar"
"25","ant"
"26","wet"
"27","green"
"28","dustbin"
"29","hot"
"30","fish"
"31","material"
"32","pound"
"33","sugar"
"34","cut"
"35","apple"
"36","round"
"37","rust"
"38","caravan"
"39","frozen"
"40","marble"
"41","flat"
"42","alcove"
"43","attic"
"44","blind"
"45","bottom"
"46","solid"
"47","back"
"48","downstairs"
"49","queen"
"50","top"
"51","coral"
"52","upstairs"
"53","pussy"
"54","male"
"55","ankle"
"56","umbrella"
"57","oven"
"58","nylon"
"59","paraplegic"
"60","crusty"
"61","roast"
"62","quarry"
"63","square"
"64","bright"
"65","acid"
"66","brown"
"67","frost"
"68","blowing"
"69","lighter"
"70","solar"
"71","prawn"
"72","lead"
"73","icy"
"74","teddy"
"75","daddy"
"76","ski"
"77","diary"
"78","curly"
"79","mum"
"80","pink"
"81","pinky"
"82","barge"
"83","granite"
"84","iron"
"85","sunny"
"86","dirty"
"87","shoe"
"88","jet"
"89","egg"
"90","drawing"
"91","fatty"
"92","whisky"
"93","library"
"94","glass"
"95","tonic"
"96","cod"
"97","plum"
"98","burnt"
"99","jaw"
"100","slave"
"101","rusty"
"102","pattern"
"103","gold"
"104","quarter"
"105","cupboard"
"106","broken"
"107","cooker"
"108","oat"
"109","meal"
"110","sky"
"111","freezing"
"112","peg"
"113","dead"
"114","fork"
"115","tin"
"116","wheelie"
"117","record"
"118","brick"
"119","navy"
"120","farm"
"121","mummy"
"122","rugby"
"123","garden"
"124","stroke"
"125","blooming"
"126","outside"
"127","dart"
"128","wooden"
"129","ferry"
"130","till"
"131","secretary"
"132","eleven"
"133","push"
"134","pull"
"135","baby"
"136","blond"
"137","bin"
"138","ear"
"139","obituary"
"140","snack"
"141","vitamin"
"142","fat"
"143","saucepan"
"144","onion"
"145","manual"
"146","hill"
"147","toy"
"148","mauve"
"149","watch"
"150","write"
"151","honey"
"152","slim"
"153","instrument"
"154","karate"
"155","porcelain"
"156","festival"
