,noun_token,noun,mass
1,tail,,
2,bags,bag,
3,school,,
4,group,,
5,committee,,
6,road,,
7,leaflet,,
8,side,,
9,people,person,
10,treasurer,,
11,pound,,
12,sheets,sheet,
13,chapels,chapel,
14,root,,
15,printer,,
16,person,,
17,pounds,pound,
18,mum,,
19,cloth,,
20,hair,,TRUE
21,windowsill,,
22,brandy,,TRUE
23,door,,
24,curtains,curtain,
25,crossing,,
26,back,,
27,loaf,,
28,yard,,
29,alarm,,
30,powder,,TRUE
31,filter,,
32,men,man,
33,duck,,
34,buns,bun,
35,seafood,,TRUE
36,meal,,
37,shops,shop,
38,shop,,
39,material,,
40,postage,,TRUE
41,spoon,,
42,bread,,TRUE
43,pie,,
44,edge,,
45,ones,one,
46,season,,
47,corner,,
48,camp,,
49,peas,pea,
50,flooring,,TRUE
51,worktops,worktop,
52,marble,,
53,water,,TRUE
54,bedrooms,bedroom,
55,bedroom,,
56,skylight,,
57,row,,
58,house,,
59,king,,
60,letters,letter,
61,flowers,flower,
62,top,,
63,reef,,
64,tank,,
65,flat,,
66,cat,,
67,gear,,
68,goldfish,,
69,lady,,
70,eye,,
71,boots,boot,
72,sundial,,
73,tree,,
74,cubes,cube,
75,drops,drop,
76,cross,,
77,shirts,shirt,
78,sky,,
79,tops,top,
80,beef,,TRUE
81,meat,,TRUE
82,tiles,tile,
83,edging,,TRUE
84,wall,,
85,food,,TRUE
86,curries,curry,
87,squirrel,,
88,squirrels,squirrel,
89,leaves,leaf,
90,soil,,TRUE
91,sun,,TRUE
92,wind,,TRUE
93,light,,
94,battery,,
95,lights,light,
96,sandwich,,
97,rolls,roll,
98,sauce,,TRUE
99,shelve,shelf,
100,baskets,basket,
101,paint,,TRUE
102,cats,cat,
103,home,,
104,daddy,,
105,lip,,
106,hands,hand,
107,pants,,TRUE
108,office,,
109,mummy,,
110,doors,door,
111,slabs,slab,
112,pinky,,
113,violet,,
114,horse,,
115,legs,leg,
116,model,,
117,day,,
118,pavement,,TRUE
