"","adj_token","noun_token"
"1","ox","tail"
"2","plastic","bags"
"3","bible","school"
"4","joint","group"
"5","giant","committee"
"6","executive","committee"
"7","bible","road"
"8","orange","leaflet"
"9","red","side"
"10","forty","people"
"11","rash","treasurer"
"12","forty","pound"
"13","yellow","sheets"
"14","forty","chapels"
"15","directory","root"
"16","print","printer"
"17","sweet","person"
"18","forty","pounds"
"19","dish","mum"
"20","dish","cloth"
"21","dark","hair"
"22","key","windowsill"
"23","brandy","brandy"
"24","outhouse","door"
"25","furniture","curtains"
"26","pelican","crossing"
"27","fridge","door"
"28","key","back"
"29","thick","loaf"
"30","dark","yard"
"31","burglar","alarm"
"32","ant","powder"
"33","wet","filter"
"34","green","men"
"35","thick","pound"
"36","dustbin","duck"
"37","hot","buns"
"38","fish","seafood"
"39","fish","meal"
"40","fish","shops"
"41","fish","shop"
"42","material","material"
"43","pound","postage"
"44","sugar","spoon"
"45","cut","bread"
"46","apple","pie"
"47","round","edge"
"48","rust","ones"
"49","caravan","season"
"50","round","corner"
"51","round","camp"
"52","frozen","peas"
"53","sweet","peas"
"54","marble","flooring"
"55","green","worktops"
"56","green","marble"
"57","hot","water"
"58","flat","bedrooms"
"59","alcove","bedroom"
"60","attic","bedroom"
"61","blind","skylight"
"62","bottom","row"
"63","solid","house"
"64","back","door"
"65","downstairs","back"
"66","queen","king"
"67","orange","letters"
"68","yellow","flowers"
"69","top","top"
"70","coral","reef"
"71","hot","tank"
"72","upstairs","flat"
"73","pussy","cat"
"74","top","gear"
"75","male","goldfish"
"76","solid","lady"
"77","blind","eye"
"78","ankle","boots"
"79","flat","ones"
"80","giant","sundial"
"81","umbrella","tree"
"82","sugar","cubes"
"83","orange","drops"
"84","oven","door"
"85","hot","cross"
"86","nylon","shirts"
"87","paraplegic","sky"
"88","crusty","tops"
"89","roast","beef"
"90","red","meat"
"91","quarry","tiles"
"92","plastic","edging"
"93","square","ones"
"94","back","wall"
"95","bright","shirts"
"96","hot","food"
"97","hot","curries"
"98","back","bedroom"
"99","red","squirrel"
"100","red","squirrels"
"101","yellow","leaves"
"102","acid","soil"
"103","brown","leaves"
"104","frost","sun"
"105","dark","leaves"
"106","green","leaves"
"107","blowing","wind"
"108","lighter","hair"
"109","bright","light"
"110","yellow","ones"
"111","solar","battery"
"112","bright","lights"
"113","prawn","sandwich"
"114","crusty","rolls"
"115","brown","sauce"
"116","lead","boots"
"117","top","shelve"
"118","brown","baskets"
"119","icy","road"
"120","red","paint"
"121","pussy","cats"
"122","teddy","home"
"123","daddy","daddy"
"124","bottom","lip"
"125","top","corner"
"126","round","hands"
"127","ski","pants"
"128","diary","office"
"129","curly","hair"
"130","print","shop"
"131","mum","mummy"
"132","solid","doors"
"133","red","light"
"134","yellow","slabs"
"135","pink","pinky"
"136","pinky","violet"
"137","barge","people"
"138","granite","horse"
"139","iron","legs"
"140","thick","model"
"141","sunny","day"
"142","dirty","pavement"
"143","shoe","museum"
"144","jet","engines"
"145","egg","yard"
"146","drawing","office"
"147","fatty","ladies"
"148","top","man"
"149","blind","spot"
"150","dustbin","men"
"151","whisky","ginger"
"152","library","books"
"153","glass","houses"
"154","tonic","water"
"155","cod","oil"
"156","plum","pudding"
"157","green","mats"
"158","burnt","rubber"
"159","bottom","dollar"
"160","hot","room"
"161","jaw","jaw"
"162","slave","driver"
"163","red","lights"
"164","square","face"
"165","rusty","nails"
"166","pattern","holes"
"167","frozen","shoulder"
"168","gold","rings"
"169","quarter","motor"
"170","cupboard","door"
"171","dark","suit"
"172","round","case"
"173","wet","snow"
"174","top","coat"
"175","round","corners"
"176","broken","arm"
"177","icy","roads"
"178","cooker","hood"
"179","oat","meal"
"180","meal","cakes"
"181","oat","porridge"
"182","sky","movies"
"183","hot","pot"
"184","male","lead"
"185","top","slabs"
"186","freezing","roads"
"187","thick","piece"
"188","thick","clip"
"189","peg","stones"
"190","yellow","plastic"
"191","yellow","metals"
"192","plastic","metal"
"193","dead","dad"
"194","apple","tree"
"195","fork","lift"
"196","back","ball"
"197","whisky","drop"
"198","tin","potatoes"
"199","hot","whisky"
"200","wheelie","bin"
"201","green","ones"
"202","dirty","foxes"
"203","orange","peel"
"204","record","case"
"205","brick","walls"
"206","brown","bag"
"207","bright","spot"
"208","brown","sugar"
"209","navy","ones"
"210","hot","towel"
"211","back","slums"
"212","farm","house"
"213","blind","people"
"214","dark","chap"
"215","green","man"
"216","fish","fingers"
"217","mummy","shout"
"218","dark","lounge"
"219","cut","glass"
"220","dirty","movies"
"221","crusty","loaf"
"222","dirty","player"
"223","rugby","players"
"224","red","shoots"
"225","pink","flowers"
"226","garden","furniture"
"227","stroke","months"
"228","key","cellar"
"229","pound","coins"
"230","blooming","girl"
"231","outside","toilet"
"232","flat","fish"
"233","glass","washer"
"234","dart","board"
"235","garden","sign"
"236","bright","beer"
"237","plastic","cupboard"
"238","wet","slab"
"239","wooden","platter"
"240","ferry","back"
"241","till","rolls"
"242","secretary","treasurer"
"243","green","bags"
"244","bottom","office"
"245","till","roll"
"246","top","bar"
"247","red","white"
"248","gold","dust"
"249","teddy","bears"
"250","flat","floors"
"251","fridge","doors"
"252","eleven","gallon"
"253","push","people"
"254","flat","floored"
"255","wooden","floor"
"256","round","carpet"
"257","bottom","corner"
"258","pull","pints"
"259","plastic","glasses"
"260","brown","ale"
"261","till","man"
"262","top","model"
"263","joint","ones"
"264","top","shelf"
"265","till","desk"
"266","top","grill"
"267","bottom","oven"
"268","top","oven"
"269","red","blood"
"270","baby","alarms"
"271","fridge","magnets"
"272","blond","hair"
"273","dark","pet"
"274","bin","girls"
"275","orange","packet"
"276","dark","brown"
"277","hot","oil"
"278","ear","phones"
"279","dead","obituary"
"280","obituary","obituary"
"281","gold","necklaces"
"282","snack","bars"
"283","hot","chocolate"
"284","green","grass"
"285","yellow","fat"
"286","vitamin","pills"
"287","fat","lady"
"288","roast","potatoes"
"289","prawn","cocktail"
"290","prawn","cocktails"
"291","saucepan","lid"
"292","onion","stuffing"
"293","red","ones"
"294","plastic","container"
"295","manual","alloy"
"296","hill","top"
"297","outside","lane"
"298","dirty","swine"
"299","fat","fingers"
"300","toy","boy"
"301","secretary","table"
"302","gold","ring"
"303","mauve","ring"
"304","top","hand"
"305","watch","mum"
"306","thick","hair"
"307","write","chip"
"308","honey","honey"
"309","slim","girl"
"310","wet","washing"
"311","round","penny"
"312","instrument","panel"
"313","karate","suit"
"314","karate","money"
"315","wet","shirts"
"316","red","gravy"
"317","bright","children"
"318","hot","bath"
"319","hot","waters"
"320","wooden","table"
"321","dark","green"
"322","porcelain","dolls"
"323","plastic","tray"
"324","solid","block"
"325","blooming","boiler"
"326","hot","tap"
"327","festival","company"
"328","yellow","hat"
"329","top","tap"
"330","plastic","card"
"331","questionnaire","letters"
"332","top","floor"
"333","solid","houses"
"334","upstairs","cafe"
"335","orange","belt"
"336","yellow","green"
"337","orange","green"
"338","sweatshirt","top"
"339","sleeveless","suits"
"340","aunt","calendar"
"341","bald","head"
"342","solar","shop"
"343","manual","gears"
"344","thick","tights"
"345","tee","shirt"
"346","hind","leg"
"347","red","tape"
"348","top","line"
"349","log","book"
"350","hot","bun"
"351","mummy","mummy"
"352","sickle","cell"
"353","pink","ovals"
"354","solid","feed"
"355","machine","smock"
"356","blind","case"
"357","thick","inch"
"358","honey","marmalade"
"359","orange","marmalade"
"360","sweet","gift"
"361","thick","marmalade"
"362","crust","parking"
"363","library","picture"
"364","cooler","outfit"
"365","round","mark"
"366","hot","pattern"
"367","grey","beards"
"368","bridesmaid","dress"
"369","bright","bright"
"370","bottom","door"
"371","hot","pipe"
"372","downstairs","loo"
"373","wet","whiskers"
"374","thick","wood"
"375","green","door"
"376","naked","fence"
"377","quarter","inch"
"378","thick","point"
"379","pound","dollars"
"380","outside","tap"
"381","top","branch"
"382","fish","pie"
"383","green","chain"
"384","pink","violets"
"385","pond","pond"
"386","sweet","packets"
"387","plastic","bag"
"388","wooden","box"
"389","ironing","board"
"390","sunny","spot"
"391","yellow","ball"
"392","red","ball"
"393","yellow","hoop"
"394","yellow","red"
"395","prawn","balls"
"396","hot","air"
"397","stuffed","mushrooms"
"398","hot","spices"
"399","hot","sauce"
"400","red","suits"
"401","red","ties"
"402","red","day"
"403","shield","brooch"
"404","red","dress"
"405","silver","beard"
"406","doggy","bins"
"407","plastic","heron"
"408","plastic","herons"
"409","plastic","ducks"
"410","top","window"
"411","dark","paint"
"412","varnish","stripper"
"413","varnish","paint"
"414","thick","ones"
"415","sweet","ones"
"416","bright","boy"
"417","sycamore","trees"
"418","grave","gravestones"
"419","marble","hearths"
"420","hearth","hearth"
"421","cable","runs"
"422","round","wall"
"423","quarter","pipe"
"424","varnish","stain"
"425","stroke","room"
"426","yellow","radiator"
"427","paint","plaster"
"428","pest","attack"
"429","dark","ceiling"
"430","cable","run"
"431","solid","path"
"432","broken","legs"
"433","hot","shit"
"434","eleven","platform"
"435","organ","pipes"
"436","post","office"
"437","plastic","spoon"
"438","bottom","ones"
"439","wet","kisses"
"440","yellow","piece"
"441","standing","wall"
"442","human","earth"
"443","human","race"
"444","dead","ones"
"445","brake","fluid"
"446","round","ones"
"447","watch","strap"
"448","thick","dad"
"449","plastic","back"
"450","baby","boy"
"451","wet","road"
"452","wet","tarmac"
"453","thick","people"
"454","telegraph","people"
"455","red","van"
"456","organ","university"
"457","nanny","training"
"458","dead","brother"
"459","seaside","carts"
"460","farm","cats"
"461","round","field"
"462","hind","legs"
"463","garden","shoulders"
"464","singing","contest"
"465","back","legs"
"466","hind","foot"
"467","horseman","horseman"
"468","farm","instruments"
"469","thistle","spuds"
"470","dust","wagon"
"471","dead","stone"
"472","red","flap"
"473","forty","videos"
"474","chief","accountant"
"475","top","garden"
"476","burglar","alarms"
"477","dark","screen"
"478","brown","paper"
"479","lighter","snack"
"480","green","flowers"
"481","solid","rain"
"482","record","gate"
"483","fish","pond"
"484","solid","hedge"
"485","red","caps"
"486","green","cap"
"487","woman","door"
"488","cloud","smoke"
"489","garden","sheds"
"490","garden","chair"
"491","primrose","oil"
"492","infant","teachers"
"493","poppy","day"
"494","dolly","bird"
"495","key","ring"
"496","dart","duster"
"497","flat","night"
"498","pussy","hair"
"499","purple","cat"
"500","alley","pals"
"501","gold","ticket"
"502","rainy","day"
"503","lead","picture"
"504","military","police"
"505","dead","horse"
"506","thick","head"
"507","wife","battering"
"508","blond","boys"
"509","bottom","floor"
"510","fat","pig"
"511","sweet","granny"
"512","grey","hair"
"513","brown","lettuce"
"514","brandy","butter"
"515","roast","lamb"
"516","quarter","eight"
"517","toy","bus"
"518","flat","box"
"519","red","jumper"
"520","silver","car"
"521","square","side"
"522","wooden","puzzles"
"523","hot","roll"
"524","green","peppers"
"525","apple","apple"
"526","library","ticket"
"527","hot","bottle"
"528","lad","lad"
"529","hot","tray"
"530","fat","cheese"
"531","bright","beak"
"532","orange","beak"
"533","brown","ribbon"
"534","green","salad"
"535","tonic","glass"
"536","shelve","dividers"
"537","ankle","socks"
"538","underwear","socks"
"539","fish","net"
"540","fat","rolls"
"541","paint","brushes"
"542","plastic","circles"
"543","back","seat"
"544","top","inches"
"545","green","fingers"
"546","dogs","biscuit"
"547","brown","syrup"
"548","frost","rising"
"549","red","shoes"
"550","round","tablets"
"551","fat","legs"
"552","orange","apple"
"553","spot","check"
"554","red","dog"
"555","green","card"
"556","slate","mine"
"557","flat","land"
"558","eleven","eleven"
"559","throw","mud"
"560","red","wine"
"561","brown","bread"
"562","pool","ones"
"563","flaming","desk"
"564","freezing","water"
"565","wooden","door"
"566","exterior","light"
"567","marble","roll"
"568","flat","floor"
"569","sash","window"
"570","grate","fire"
"571","outside","world"
"572","dirty","dish"
"573","red","basket"
"574","top","shop"
"575","flat","timber"
"576","top","hits"
"577","sirloin","steak"
"578","sleeveless","top"
"579","navy","shorts"
"580","brown","suite"
"581","pink","squares"
"582","pink","burgundy"
"583","dead","minty"
"584","square","yards"
"585","drop","curtains"
"586","cigar","smoke"
"587","quarter","past"
"588","plastic","grid"
"589","spiral","nail"
"590","spiral","grips"
"591","sliced","potatoes"
"592","oven","top"
"593","eleven","pound"
"594","dark","ones"
"595","dark","glasses"
"596","plastic","ones"
"597","wooden","ones"
"598","wooden","reels"
"599","plastic","wallet"
"600","hot","sausages"
"601","brown","patches"
"602","plastic","sacks"
"603","broken","car"
"604","bottom","drawer"
"605","sweet","chocolate"
"606","metal","plates"
"607","fat","dinner"
"608","jelly","fish"
"609","mashed","potatoes"
"610","burnt","fingers"
"611","garden","door"
"612","hot","days"
"613","top","penthouses"
"614","seventh","mutant"
"615","solar","eclipse"
"616","chief","art"
"617","chief","advisor"
"618","round","side"
"619","yellow","lines"
"620","picnic","table"
"621","apple","core"
"622","red","lady"
"623","tin","cans"
"624","freeze","coffee"
"625","gold","coffee"
"626","top","sinking"
"627","bottom","cupboard"
"628","powder","paints"
"629","glazed","window"
"630","red","car"
"631","salmon","leaping"
"632","dill","tops"
"633","orange","cake"
"634","strawberry","chocolate"
"635","dirty","bottom"
"636","wooden","trough"
"637","blonde","ones"
"638","dirty","cloth"
"639","material","flower"
"640","stew","pot"
"641","wet","post"
"642","bright","red"
"643","gold","fish"
"644","brown","ones"
"645","blind","corner"
"646","beep","beep"
"647","dirty","outsides"
"648","hot","wax"
"649","hot","wash"
"650","pregnant","person"
"651","green","path"
"652","puppy","dog"
"653","fat","girls"
"654","forty","eight"
"655","back","garden"
"656","yellow","sleeve"
"657","yellow","oranges"
"658","sweat","top"
"659","top","trainers"
"660","top","prizes"
"661","microwave","film"
"662","blooming","month"
"663","blond","captain"
"664","push","push"
"665","pork","pork"
"666","pound","coin"
"667","village","village"
"668","boat","people"
"669","star","crew"
"670","sheet","sides"
"671","day","pastor"
"672","shaving","mirror"
"673","hand","bag"
"674","dog","collars"
"675","sister","churches"
"676","woman","sitting"
"677","bank","manager"
"678","group","secretary"
"679","home","committee"
"680","tape","recorder"
"681","gum","tree"
"682","tree","branches"
"683","stand","point"
"684","page","moderator"
"685","committee","report"
"686","letter","side"
"687","wastepaper","basket"
