noun,adj,turker_judgment,wiki_similarity,ldp_similarity
car,red,3.0,0.39266541600227356,0.2982994616031647
card,red,3.25,0.4865281879901886,0.29676201939582825
light,red,3.5,0.5035218000411987,0.5688825249671936
leg,red,2.25,0.34614768624305725,0.22505652904510498
bird,red,2.5,0.3770584464073181,0.30692058801651
bear,red,2.0,0.3463515639305115,0.2500181794166565
duck,red,2.0,0.36262229084968567,0.4385974109172821
horse,red,1.25,0.39946627616882324,0.3336693346500397
frog,red,2.75,0.35171252489089966,0.5255802869796753
cat,red,2.0,0.38241082429885864,0.3439004421234131
sheep,red,1.0,0.4108404517173767,0.43563997745513916
goldfish,red,2.0,0.3153068423271179,0.18522080779075623
basket,red,2.25,0.3418310582637787,0.23067031800746918
tricycle,red,3.5,0.33916106820106506,0.3934061825275421
star,red,2.75,0.4175986349582672,0.7280448079109192
piece,red,3.75,0.3367254137992859,0.32787421345710754
fish,red,4.0,0.39756155014038086,0.4940876066684723
flower,red,3.25,0.41459742188453674,0.6698966026306152
dog,red,2.3333333333333335,0.39441725611686707,0.2395736277103424
board,red,3.25,0.35468825697898865,0.3019888699054718
letter,red,3.0,0.40686821937561035,0.2885555028915405
dot,red,4.0,0.4534578323364258,0.6707178354263306
heart,red,5.75,0.39360833168029785,0.21261264383792877
hair,red,2.75,0.46444517374038696,0.08329430222511292
milk,red,1.0,0.35997068881988525,0.17587900161743164
ball,red,4.666666666666667,0.3942251205444336,0.3266408443450928
circle,red,2.75,0.42834293842315674,0.6060189604759216
apple,red,5.25,0.3840983510017395,0.22618316113948822
block,red,3.75,0.3188360035419464,0.6459585428237915
balloon,red,3.25,0.36212238669395447,0.5064794421195984
reindeer,red,2.75,0.3534661531448364,0.3505457639694214
bow,red,4.0,0.3954254984855652,0.3507445752620697
hat,red,3.5,0.4488484859466553,0.3870151937007904
penguin,red,1.25,0.318891704082489,0.45083731412887573
flag,red,3.0,0.5239422917366028,0.3956094980239868
fence,red,2.3333333333333335,0.315471351146698,0.39768433570861816
sun,red,2.5,0.43110525608062744,0.44204792380332947
butterfly,red,2.0,0.310918927192688,0.4676154851913452
stick,red,2.25,0.4150405824184418,0.25919193029403687
arm,red,2.0,0.3337141275405884,0.23900897800922394
child,red,1.25,0.34845736622810364,0.0822497010231018
tail,red,3.6666666666666665,0.42765510082244873,0.4464156925678253
clay,red,5.0,0.4333176910877228,0.35202932357788086
couch,red,3.5,0.3033732771873474,0.14153458178043365
ocean,red,1.75,0.3937990069389343,0.2822284698486328
tractor,red,4.25,0.3653703033924103,0.3796824812889099
cherry,red,6.25,0.4481869339942932,0.44761842489242554
eye,red,2.6666666666666665,0.39408960938453674,0.3461553454399109
tomato,red,5.5,0.4567384719848633,0.4227472245693207
onion,red,3.75,0.43443241715431213,0.19987207651138306
plant,red,2.3333333333333335,0.316621333360672,0.32660603523254395
hand,red,2.0,0.43406444787979126,0.2409181445837021
rose,red,5.25,0.4086865186691284,0.31065601110458374
crayon,red,3.5,0.4372093081474304,0.6431010961532593
bush,red,1.75,0.3595640957355499,0.32988905906677246
sky,red,2.25,0.5049946308135986,0.40618425607681274
house,red,2.25,0.36910057067871094,0.005505284760147333
guy,red,1.6,0.34368962049484253,0.25488004088401794
squirrel,red,2.75,0.44124868512153625,0.25751370191574097
potato,red,3.25,0.3872990310192108,0.16669051349163055
square,red,3.0,0.45129501819610596,0.7224276661872864
clock,red,2.5,0.3842851221561432,0.4317576587200165
fire,red,5.75,0.39782342314720154,0.28550177812576294
engine,red,3.0,0.3148013949394226,0.28512024879455566
crab,red,5.0,0.44874635338783264,0.23357267677783966
barn,red,4.75,0.34600672125816345,0.3404989242553711
strawberry,red,5.5,0.4624450206756592,0.41734227538108826
shoe,red,4.0,0.38923245668411255,0.23414656519889832
top,red,3.0,0.4648708701133728,0.3311370313167572
bucket,red,3.4,0.42187023162841797,0.18551822006702423
whale,red,1.0,0.3594050407409668,0.4593513309955597
turtle,red,1.75,0.40751296281814575,0.5772111415863037
bag,red,3.0,0.37640127539634705,0.08749566972255707
person,red,2.0,0.270308256149292,0.46069416403770447
oil,red,2.75,0.35936835408210754,0.36911752820014954
pot,red,3.0,0.3867030739784241,0.4055146276950836
cup,red,3.75,0.3485945761203766,0.3171558976173401
juice,red,3.6666666666666665,0.42192718386650085,0.2232649028301239
shirt,red,3.25,0.4983133375644684,0.19982896745204926
fruit,red,3.5,0.3899771571159363,0.09817489236593246
pepper,red,4.333333333333333,0.4442237317562103,0.4867706000804901
sauce,red,5.0,0.421342134475708,0.3661121428012848
tree,red,2.0,0.3682573437690735,0.18442916870117188
puppy,red,2.25,0.34282609820365906,0.2212240844964981
blanket,red,3.0,0.3573214113712311,0.33043965697288513
hole,red,2.5,0.41826027631759644,0.29200848937034607
coat,red,2.5,0.44938087463378906,0.20472656190395355
skin,red,2.5,0.4580695629119873,0.3938406705856323
towel,red,3.75,0.3898637294769287,0.23670779168605804
spot,red,4.666666666666667,0.40433454513549805,0.2087646722793579
train,red,2.5,0.32912030816078186,0.19155259430408478
button,red,3.0,0.4639630913734436,0.4363148510456085
cookie,red,1.6666666666666667,0.27436205744743347,0.3021180331707001
picture,red,2.5,0.42331162095069885,0.2337058037519455
throat,red,3.3333333333333335,0.3490304946899414,0.2518658936023712
boy,red,1.0,0.3624177873134613,0.1597324162721634
mouth,red,3.25,0.323233962059021,0.10749080032110214
clown,red,3.0,0.34799498319625854,0.3195118010044098
nose,red,2.0,0.3979279696941376,0.19106517732143402
bin,red,2.0,0.3383910059928894,0.3678283393383026
foot,red,2.0,0.3749217689037323,0.27039414644241333
planet,red,2.75,0.3504580855369568,0.35217875242233276
boot,red,3.5,0.36313238739967346,0.2661535143852234
boat,red,3.0,0.37696415185928345,0.39855343103408813
path,red,2.75,0.3442370891571045,0.3302634060382843
bell,red,3.0,0.35667601227760315,0.22502221167087555
wheel,red,3.0,0.383421927690506,0.4671506881713867
gate,red,3.25,0.2967601418495178,0.1901242434978485
log,red,2.0,0.3153334856033325,0.20064179599285126
door,red,2.75,0.31823045015335083,0.11594046652317047
dinosaur,red,2.0,0.35238173604011536,0.5014985799789429
map,red,2.25,0.48273545503616333,0.3909739553928375
counter,red,2.8,0.2965661585330963,0.2465450018644333
lunch,red,2.0,0.33626624941825867,-0.050034813582897186
head,red,2.75,0.43469494581222534,0.17234009504318237
triangle,red,3.75,0.4825073778629303,0.7099964618682861
kitchen,red,2.25,0.3571935296058655,0.1294092983007431
cake,red,2.5,0.36381909251213074,0.26676467061042786
lid,red,3.25,0.3011792004108429,0.44583356380462646
box,red,2.75,0.48147591948509216,0.20285527408123016
wood,red,2.75,0.392387330532074,0.3195940852165222
gown,red,2.5,0.41638651490211487,0.08709918707609177
railing,red,2.8,0.32204553484916687,0.20635531842708588
freight,red,2.75,0.3167853057384491,0.23105666041374207
rail,red,2.5,0.43851974606513977,0.16515107452869415
caboose,red,3.75,0.28927725553512573,0.4468947649002075
finger,red,1.5,0.393664687871933,0.2598620057106018
candy,red,4.25,0.3508714735507965,0.21395890414714813
jacket,red,2.5,0.433623731136322,0.1838442087173462
chip,red,2.0,0.38973507285118103,0.25849416851997375
scissor,red,3.25,0.2965974807739258,0.08295341581106186
rod,red,2.0,0.3587437868118286,0.19074684381484985
camera,red,1.6666666666666667,0.3354988396167755,0.11283096671104431
scarf,red,3.25,0.4569754898548126,0.3735421895980835
ribbon,red,4.8,0.4713994562625885,0.38145706057548523
neck,red,3.25,0.39217609167099,0.21587015688419342
bone,red,1.5,0.3789671063423157,0.3475662171840668
handle,red,4.0,0.27436667680740356,0.4485563039779663
knob,red,2.75,0.36733299493789673,0.2839093804359436
truck,red,3.25,0.41517511010169983,0.13368549942970276
wagon,red,4.75,0.3500179648399353,0.39928051829338074
closet,red,2.6666666666666665,0.33294999599456787,0.07234447449445724
jam,red,4.5,0.2986026406288147,0.34085768461227417
stripe,red,3.0,0.4995853006839752,0.5480788946151733
leave,red,3.25,0.29444268345832825,-0.035262852907180786
cap,red,3.0,0.4046795070171356,0.4663732349872589
cow,red,2.0,0.38235029578208923,0.2974483370780945
bowl,red,2.75,0.3082077205181122,0.2632431983947754
honey,red,2.0,0.3724256753921509,0.06655119359493256
rabbit,red,1.75,0.44066545367240906,0.24134597182273865
rain,red,1.0,0.38418295979499817,0.3345010578632355
sunshine,red,2.25,0.3595873713493347,0.3247840106487274
lip,red,5.666666666666667,0.3679874539375305,0.19009599089622498
mine,red,2.0,0.3346542716026306,0.45974019169807434
hexagon,red,2.6666666666666665,0.35235610604286194,0.15622611343860626
seat,red,2.75,0.3586002588272095,0.1179480254650116
baby,red,1.5,0.3976444602012634,0.14629507064819336
rock,red,3.0,0.38927093148231506,0.34276190400123596
edge,red,2.5,0.40031635761260986,0.46356841921806335
page,red,2.25,0.20629021525382996,0.2555340826511383
roof,red,3.5,0.4003736972808838,0.30469655990600586
girl,red,4.0,0.3505230247974396,0.1443708837032318
blood,red,6.75,0.4786936342716217,0.33293816447257996
snow,red,1.25,0.3936364948749542,0.36035773158073425
dragon,red,3.0,0.4692852199077606,0.4589891731739044
oval,red,2.5,0.39780890941619873,0.33101361989974976
van,red,2.5,0.35992375016212463,0.42189112305641174
collar,red,3.75,0.47609201073646545,0.3096548020839691
rectangle,red,3.3333333333333335,0.4526144564151764,0.4357891082763672
border,red,3.0,0.4000645577907562,0.32184916734695435
cab,red,2.25,0.3582195043563843,0.33202531933784485
gym,red,2.5,0.2828863859176636,0.053588662296533585
cheek,red,2.6666666666666665,0.41533294320106506,0.19596610963344574
suit,red,2.3333333333333335,0.3479877710342407,0.25199201703071594
paper,red,3.0,0.3777674734592438,0.40041691064834595
sand,red,2.25,0.4476257264614105,0.26937294006347656
book,red,3.0,0.34303849935531616,0.014649723656475544
sign,red,3.75,0.3851018249988556,0.20018334686756134
pea,red,1.75,0.3589957654476166,0.030070699751377106
nest,red,2.0,0.31921905279159546,0.19054894149303436
arrow,red,4.0,0.5209522843360901,0.4413243532180786
bat,red,1.5,0.2963276505470276,0.36848515272140503
chicken,red,2.5,0.4623538851737976,0.2641281485557556
controller,red,3.0,0.33060431480407715,0.26518526673316956
airplane,red,2.5,0.29846546053886414,0.25091317296028137
bike,red,2.75,0.34528806805610657,0.07958957552909851
plate,red,2.75,0.33468371629714966,0.23461629450321198
berry,red,4.666666666666667,0.4258227050304413,0.05662229284644127
branch,red,1.25,0.31860223412513733,0.2574312388896942
bridge,red,3.0,0.31126096844673157,0.2819347679615021
bug,red,3.25,0.31254667043685913,0.19542744755744934
cape,red,3.5,0.39991727471351624,0.4242047667503357
pillow,red,2.0,0.337737500667572,0.36080852150917053
coral,red,3.75,0.40941739082336426,0.24411146342754364
ant,red,4.25,0.3771127164363861,0.4064020812511444
string,red,2.75,0.39371204376220703,0.3992171883583069
popsicle,red,4.25,0.3507981300354004,0.34520968794822693
tongue,red,2.75,0.3366924226284027,0.2189089059829712
lobster,red,5.0,0.43485143780708313,0.3263314664363861
flavor,red,2.75,0.342966228723526,0.08099564164876938
road,red,1.75,0.3931671679019928,0.23700881004333496
ear,red,2.25,0.3001662790775299,0.15914389491081238
robin,red,5.0,0.3808439373970032,0.03785324841737747
bead,red,3.0,0.34442660212516785,0.46064072847366333
parachute,red,3.25,0.2954889237880707,0.1322425752878189
grocery,red,2.25,0.33272773027420044,-0.1174905002117157
store,red,2.75,0.2570215165615082,-0.04813310131430626
cart,red,3.0,0.34357643127441406,0.040043722838163376
bed,red,3.25,0.3504200279712677,-0.07799290865659714
knight,red,3.3333333333333335,0.364104300737381,0.3664102256298065
broccoli,red,1.25,0.36843031644821167,0.33103373646736145
body,red,2.0,0.32858049869537354,0.2958106994628906
punch,red,3.75,0.35917359590530396,-0.0270644910633564
track,red,2.25,0.28057554364204407,0.37771666049957275
street,red,2.0,0.3459107279777527,0.10830972343683243
dinner,red,1.5,0.3574862480163574,-0.15219029784202576
hamster,red,1.0,0.3440103828907013,0.16310210525989532
diamond,red,2.0,0.39985227584838867,0.5732431411743164
machine,red,3.5,0.32042092084884644,0.24783757328987122
pole,red,2.5,0.33495455980300903,0.13047493994235992
panda,red,2.25,0.38080793619155884,0.2732471823692322
drawer,red,2.5,0.2854621112346649,0.1611708700656891
elephant,red,1.5,0.3711749017238617,0.30061665177345276
worm,red,3.25,0.33719614148139954,0.36560389399528503
shop,red,2.5,0.31176310777664185,0.04578489810228348
brick,red,5.0,0.526700496673584,0.3462212085723877
fire,hot,6.75,0.4234510064125061,0.09363427013158798
air,hot,3.75,0.46853700280189514,0.3320017158985138
tongue,hot,2.25,0.3262144923210144,0.1336539089679718
water,hot,5.0,0.4739215075969696,0.2931791841983795
head,hot,3.25,0.3561338186264038,-0.04224381223320961
towel,hot,3.25,0.40878021717071533,0.05948285385966301
plate,hot,4.0,0.3384866416454315,0.17457811534404755
macaroni,hot,4.0,0.37035074830055237,0.24170640110969543
telephone,hot,1.75,0.3281794786453247,0.007737085223197937
aspen,hot,2.0,0.2126297652721405,0.30073752999305725
bite,hot,2.75,0.3655651807785034,0.23532342910766602
muffin,hot,3.5,0.2866573929786682,0.3734017610549927
oven,hot,4.25,0.4025847315788269,0.26065793633461
mitt,hot,2.75,0.3171238303184509,0.1387501358985901
sun,hot,7.0,0.4642331302165985,0.2646743357181549
day,hot,3.25,0.40273889899253845,-0.04330700635910034
cookie,hot,4.5,0.30474624037742615,0.30094435811042786
pear,hot,1.75,0.30723142623901367,0.3997217118740082
candle,hot,6.0,0.3305460512638092,0.18038365244865417
radiator,hot,5.0,0.4054080843925476,0.2513319253921509
baby,hot,2.25,0.38809913396835327,-0.014346063137054443
egg,hot,4.25,0.2894187867641449,0.12611426413059235
fan,hot,2.3333333333333335,0.34857335686683655,0.2963123619556427
house,hot,3.6666666666666665,0.30994120240211487,0.02635912410914898
foot,hot,2.25,0.2879871129989624,-0.03153449669480324
tea,hot,4.5,0.40837278962135315,0.3609670102596283
oil,hot,3.5,0.3830261528491974,0.26798585057258606
pot,hot,3.75,0.37394970655441284,0.33243539929389954
bacon,hot,5.5,0.37407660484313965,0.28807660937309265
toast,hot,4.5,0.4381236732006073,0.3242678642272949
honey,hot,3.0,0.371475487947464,0.17148475348949432
nose,hot,1.75,0.3899204730987549,0.132735475897789
body,hot,3.25,0.2731417417526245,0.057163625955581665
table,hot,1.5,0.34236419200897217,0.05427837744355202
food,hot,4.6,0.38911643624305725,0.2915683686733246
juice,hot,2.25,0.3759114146232605,0.29442349076271057
wood,hot,2.5,0.35810402035713196,0.3474462330341339
grill,hot,6.0,0.4296513795852661,0.2768481373786926
beer,hot,1.3333333333333333,0.3905385136604309,0.289499431848526
wing,hot,3.75,0.27344223856925964,0.057302381843328476
pig,hot,3.25,0.34863919019699097,0.07499857991933823
engine,hot,4.75,0.32985919713974,0.046730220317840576
syrup,hot,2.0,0.2878812551498413,0.3196879029273987
shark,hot,1.5,0.2740474343299866,0.18032941222190857
turtle,hot,2.0,0.26920589804649353,0.1043933629989624
door,hot,1.75,0.32838284969329834,-0.1511945277452469
pea,hot,3.0,0.35383114218711853,0.17237719893455505
cup,hot,3.0,0.3441302478313446,0.1848813146352768
breakfast,hot,3.75,0.40322044491767883,0.2556972801685333
penguin,hot,1.5,0.24933256208896637,0.22673355042934418
bottle,hot,3.0,0.32807648181915283,0.12311291694641113
pad,hot,3.0,0.32847821712493896,0.27414417266845703
chicken,hot,4.5,0.40765321254730225,0.27745577692985535
nugget,hot,3.75,0.29095718264579773,0.1634334772825241
coffee,hot,4.75,0.4388701617717743,0.35567066073417664
guy,hot,3.5,0.37876221537590027,-0.07012240588665009
night,hot,3.5,0.42891016602516174,-0.07978370785713196
earth,hot,4.75,0.37645697593688965,0.17803674936294556
mud,hot,2.75,0.38732555508613586,0.31355926394462585
soup,hot,5.5,0.4298225939273834,0.36245301365852356
chip,hot,2.75,0.3181014060974121,0.4895445704460144
dough,hot,2.5,0.36136114597320557,0.30174142122268677
blanket,hot,3.6666666666666665,0.3907466232776642,-0.017542751505970955
person,hot,4.0,0.2636512219905853,0.0376647487282753
hand,hot,3.0,0.3980833888053894,-0.02425914816558361
ground,hot,2.75,0.36490723490715027,0.08834288269281387
peach,hot,2.5,0.40026018023490906,0.4328913390636444
bike,hot,2.25,0.32698681950569153,0.021981719881296158
steam,hot,6.666666666666667,0.47785577178001404,0.24765457212924957
frog,hot,2.75,0.2745508551597595,0.08278732001781464
lunch,hot,5.0,0.38634374737739563,0.2775706648826599
pool,hot,3.3333333333333335,0.4064232110977173,0.19400981068611145
tub,hot,3.0,0.5277856588363647,0.12335231155157089
circle,hot,2.0,0.24428418278694153,0.04452650994062424
rod,hot,3.5,0.42045047879219055,0.3560599684715271
car,hot,3.5,0.3450080156326294,0.0015099768061190844
carrot,hot,3.0,0.31367525458335876,0.2736853361129761
pan,hot,4.0,0.4404310882091522,0.21651555597782135
ear,hot,1.75,0.27952349185943604,0.02797212079167366
plastic,hot,2.5,0.41622602939605713,0.13265548646450043
leg,hot,2.75,0.34509557485580444,-0.09401044249534607
swing,hot,2.75,0.3367588520050049,-0.04375017061829567
coal,hot,3.25,0.40515372157096863,0.20124803483486176
corn,hot,5.0,0.35703757405281067,0.39095669984817505
strawberry,hot,1.5,0.3663743734359741,0.32393184304237366
son,hot,1.75,0.2750193178653717,0.13392460346221924
ice,hot,1.6,0.39428651332855225,0.30505749583244324
jeans,hot,2.25,0.32479825615882874,-0.033729132264852524
bus,hot,2.25,0.3308272659778595,-0.1532311588525772
pickle,hot,2.6666666666666665,0.39371493458747864,0.28782472014427185
stove,hot,5.25,0.43241578340530396,0.1659466028213501
