word,kuperman,wordbank,predicted,aoa
daddy,30.72,12,20.562164897257652,12
mommy,30,12,20.366143092767484,12
bye,39.36462,14,22.61155012796381,14
uh,NA,14,NA,14
ball,34.8,15,21.592863923147515,15
dog,33.599999999999994,15,21.302827192966102,15
hi,NA,15,NA,15
no,32.586768,16,21.049748871036737,16
momma,18.96,NA,16.573525387158064,16.573525387158064
baby,46.08,17,23.913414573554423,17
banana,45.36,17,23.783251274330155,17
book,44.160000000000004,17,23.561650904641493,17
shoe,31.200000000000003,17,20.690310079348233,17
woof,42.36,17,23.217695643186925,17
baa,NA,17,NA,17
balloon,52.44,18,24.982027421338824,18
bird,42.24,18,23.194248255320094,18
car,40.44,18,22.834313356201395,18
cat,44.160000000000004,18,23.561650904641493,18
duck,42,18,23.147152978725128,18
eye,45,18,23.71739276906425,18
grandma,30.96,18,20.62648583416642,18
meow,48,18,24.250816468775696,18
moo,42.36,18,23.217695643186925,18
nose,35.400000000000006,18,21.734152811183105,18
ouch,29.006016000000002,18,20.087654456004643,18
yum,NA,18,NA,18
grrr,NA,18,NA,18
mama,22.68,NA,18.054252112562917,18.054252112562917
bantling,24,NA,18.52181730700846,18.52181730700846
apple,49.800000000000004,19,24.555091270832865,19
bath,38.76,19,22.483615958163963,19
bottle,42.72,19,23.287641324488796,19
cheese,51.96,19,24.906025058859516,19
cookie,40.44,19,22.834313356201395,19
ear,43.56,19,23.44858212791207,19
grandpa,36.72,19,22.03673963229293,19
hat,39.96,19,22.735623244201534,19
hot,40.44,19,22.834313356201395,19
juice,52.800000000000004,19,25.038574041079112,19
kitty,42.433836,19,23.232089834858495,19
milk,40.44,19,22.834313356201395,19
please,41.794416000000005,19,23.106596672090923,19
quack,63.023160000000004,19,26.50144054113081,19
thank,45.480000000000004,19,23.805088007454795,19
yes,27.727176,19,19.714974651732387,19
vroom,NA,19,NA,19
bubbles,NA,19,NA,19
mom,26.64,NA,19.384373567904763,19.384373567904763
bear,42.96,20,23.33394507965434,20
boat,46.08,20,23.913414573554423,20
cow,47.28,20,24.125899249499014,20
cracker,58.800000000000004,20,25.928162864682765,20
cup,42.839999999999996,20,23.310825627712823,20
diaper,40.8,20,22.90756522722565,20
door,36.599999999999994,20,22.00968494797268,20
down,59.18664,20,25.9823328598051,20
eat,33.36,20,21.24357820319032,20
hair,38.04,20,22.32863894246644,20
hello,45.119400000000006,20,23.739294053356588,20
mine,50.87418000000001,20,24.731475087641012,20
outside,42.945372000000006,20,23.331130277165418,20
peekaboo,43.8,20,23.493995421723127,20
spoon,30,20,20.366143092767484,20
truck,45.480000000000004,20,23.805088007454795,20
up,35.016564,20,21.64413972720384,20
water,28.44,20,19.92477506345483,20
owie,NA,20,NA,20
choo,NA,20,NA,20
child's,NA,20,NA,20
shh,NA,20,NA,20
dad,30.96,NA,20.62648583416642,20.62648583416642
count,31.32,NA,20.722038328214797,20.722038328214797
mother,31.56,NA,20.785131754290077,20.785131754290077
airplane,47.28,21,24.125899249499014,21
bed,34.68,21,21.5643139856756,21
belly,48.599999999999994,21,24.35349106466928,21
blanket,43.32,21,23.402917930652325,21
bunny,54,21,25.224316659602,21
bus,46.2,21,23.934910551028544,21
chair,41.160000000000004,21,22.98017358887318,21
cold,47.400000000000006,21,24.14685033468432,21
drink,41.64,21,23.076003052868803,21
fish,48.599999999999994,21,24.35349106466928,21
flower,37.32,21,22.170700403984615,21
foot,41.28,21,23.004235319636884,21
go,40.44,21,22.834313356201395,21
good,42.599999999999994,21,23.264391805136054,21
hand,32.88,21,21.123790618364804,21
horse,49.800000000000004,21,24.555091270832865,21
kiss,43.32,21,23.402917930652325,21
light,48.599999999999994,21,24.35349106466928,21
moon,57.96,21,25.809237090887688,21
more,45.375168,21,23.786014624804036,21
mouth,42.96,21,23.33394507965434,21
pig,46.08,21,23.913414573554423,21
potty,27.36,21,19.60479192848452,21
puppy,39.36,21,22.610580032002847,21
telephone,55.56,21,25.45970514837686,21
toe,36,21,21.87306698330523,21
train,48,21,24.250816468775696,21
tree,42.839999999999996,21,23.310825627712823,21
pet's,NA,21,NA,21
carrot,32.88,NA,21.123790618364804,21.123790618364804
