adj,noun,mean_typ,typicality,wiki_similarity,ldp_similarity
red,apple,5.25,high,0.3840983510017395,0.22618316113948822
brown,apple,2.5,low,0.46781185269355774,0.29534029960632324
brown,bag,5,high,0.5266604423522949,-0.01509357150644064
yellow,bag,2.5,low,0.43285876512527466,0.17096443474292755
round,ball,6,high,0.42767271399497986,0.16009800136089325
flat,ball,2.25,low,0.3831677734851837,0.04889609292149544
colored,balloon,5.5,high,0.3730025887489319,0.14124570786952972
slippery,balloon,2.75,low,0.23407717049121857,0.10394863784313202
yellow,banana,5.75,high,0.45561787486076355,0.357002317905426
dirty,banana,2.75,low,0.3465525805950165,-0.06397668272256851
wooden,barrel,5.5,high,0.43724325299263,0.6828551888465881
yellow,barrel,2.75,low,0.2897203862667084,0.3217025399208069
furry,bear,5.5,high,0.35652437806129456,0.48416298627853394
purple,bear,1,low,0.3578568398952484,0.2632521986961365
flat,bed,5.25,high,0.4692019820213318,-0.12612274289131165
green,bed,2,low,0.3348349630832672,0.00826981384307146
outside,bird,5.5,high,0.2945803999900818,0.05060117319226265
purple,bird,2,low,0.37706679105758667,0.30966800451278687
square,block,5.5,high,0.4304198920726776,0.7677268981933594
purple,block,2.5,low,0.3457656800746918,0.676886260509491
square,box,5,high,0.40959441661834717,0.30794787406921387
silver,box,2.25,low,0.40207329392433167,0.1939755082130432
green,broccoli,6.25,high,0.4279560148715973,0.3358807861804962
red,broccoli,1.25,low,0.36843031644821167,0.33103373646736145
yellow,cab,5.75,high,0.4209194481372833,0.35407888889312744
red,cab,2.25,low,0.3582195043563843,0.33202531933784485
hot,candle,6,high,0.3305460512638092,0.18038365244865417
green,candle,2.75,low,0.3460124433040619,0.23151452839374542
furry,cat,5,high,0.5283573865890503,0.4486691653728485
purple,cat,1.25,low,0.36778587102890015,0.4246017336845398
wooden,chair,5,high,0.4809110462665558,-0.05540291965007782
pink,chair,2.25,low,0.34657126665115356,0.074451744556427
round,circle,7,high,0.4968142509460449,0.5078983306884766
hot,circle,2,low,0.24428418278694153,0.04452650994062424
red,clay,5,high,0.4333176910877228,0.35202932357788086
giant,clay,2.5,low,0.32349610328674316,0.41583412885665894
round,cookie,5.75,high,0.31859928369522095,-0.07691197842359543
red,cookie,1.6666666666666667,low,0.27436205744743347,0.3021180331707001
plastic,cup,5.25,high,0.46623194217681885,0.4179260730743408
flat,cup,1.5,low,0.32619279623031616,-0.019404422491788864
bright,day,5.5,high,0.42221224308013916,0.03181326761841774
snowy,day,2.5,low,0.36411046981811523,0.19110427796840668
plastic,dinosaur,5.75,high,0.39862459897994995,0.46945512294769287
yellow,dinosaur,1.25,low,0.3689359426498413,0.5397476553916931
yellow,duck,5,high,0.38029009103775024,0.45444822311401367
purple,duck,1,low,0.3844178020954132,0.48765289783477783
oval,egg,6.25,high,0.4200937747955322,0.6703593134880066
green,egg,1.25,low,0.3712449371814728,0.25779080390930176
fat,elephant,5,high,0.3706391155719757,0.22085203230381012
