"","adj","noun","session","n","adj_stem","noun_stem","adult_n","mean_typ"
"1","green","ball",2,1,"green","ball",34,3
"2","purple","car",3,8,"purpl","car",14,2.25
"3","purple","car",3,8,"purpl","car",14,2.25
"4","purple","car",3,8,"purpl","car",14,2.25
"5","purple","car",3,8,"purpl","car",14,2.25
"6","purple","car",3,8,"purpl","car",14,2.25
"7","purple","car",3,8,"purpl","car",14,2.25
"8","purple","car",3,8,"purpl","car",14,2.25
"9","purple","car",3,8,"purpl","car",14,2.25
"10","dirty","hand",3,4,"dirti","hand",30,3.5
"11","dirty","hand",3,4,"dirti","hand",30,3.5
"12","dirty","hand",3,4,"dirti","hand",30,3.5
"13","dirty","hand",3,4,"dirti","hand",30,3.5
"14","red","car",3,4,"red","car",74,3
"15","red","car",3,4,"red","car",74,3
"16","red","car",3,4,"red","car",74,3
"17","red","car",3,4,"red","car",74,3
"18","red","swing",3,4,"red","swing",1,2.75
"19","red","swing",3,4,"red","swing",1,2.75
"20","red","swing",3,4,"red","swing",1,2.75
"21","red","swing",3,4,"red","swing",1,2.75
"22","dirty","car",3,3,"dirti","car",3,5
"23","dirty","car",3,3,"dirti","car",3,5
"24","dirty","car",3,3,"dirti","car",3,5
"25","green","bean",3,3,"green","bean",11,4
"26","green","bean",3,3,"green","bean",11,4
"27","green","bean",3,3,"green","bean",11,4
"28","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"29","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"30","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"31","pink","cup",3,3,"pink","cup",10,3
"32","pink","cup",3,3,"pink","cup",10,3
"33","pink","cup",3,3,"pink","cup",10,3
"34","red","towel",3,3,"red","towel",1,3.75
"35","red","towel",3,3,"red","towel",1,3.75
"36","red","towel",3,3,"red","towel",1,3.75
"37","rocky","truck",3,3,"rocki","truck",9,1.25
"38","rocky","truck",3,3,"rocki","truck",9,1.25
"39","rocky","truck",3,3,"rocki","truck",9,1.25
"40","brown","dot",3,2,"brown","dot",3,3
"41","brown","dot",3,2,"brown","dot",3,3
"42","hot","tea",3,2,"hot","tea",22,4.5
"43","hot","tea",3,2,"hot","tea",22,4.5
"44","naked","baby",3,2,"nake","babi",7,4
"45","naked","baby",3,2,"nake","babi",7,4
"46","pink","coat",3,2,"pink","coat",1,3
"47","pink","coat",3,2,"pink","coat",1,3
"48","pink","peg",3,2,"pink","peg",2,2.5
"49","pink","peg",3,2,"pink","peg",2,2.5
"50","red","tractor",3,2,"red","tractor",1,4.25
"51","red","tractor",3,2,"red","tractor",1,4.25
"52","yellow","fish",3,2,"yellow","fish",19,3.25
"53","yellow","fish",3,2,"yellow","fish",19,3.25
"54","bright","color",3,1,"bright","color",12,3.5
"55","dark","hair",3,1,"dark","hair",2,4.6
"56","dirty","park",3,1,"dirti","park",2,3.33333333333333
"57","dirty","shoe",3,1,"dirti","shoe",10,4
"58","green","ball",3,1,"green","ball",34,3
"59","green","bird",3,1,"green","bird",9,2.75
"60","green","money",3,1,"green","monei",3,6.5
"61","green","pepper",3,1,"green","pepper",16,3.33333333333333
"62","green","pot",3,1,"green","pot",1,2.75
"63","green","strawberry",3,1,"green","strawberri",1,2.25
"64","green","tea",3,1,"green","tea",2,4.5
"65","green","turtle",3,1,"green","turtl",8,4
"66","hot","baby",3,1,"hot","babi",5,2.25
"67","hot","pot",3,1,"hot","pot",5,3.75
"68","orange","car",3,1,"orang","car",14,3.25
"69","orange","fish",3,1,"orang","fish",28,3.25
"70","pink","ear",3,1,"pink","ear",18,3
"71","pink","lip",3,1,"pink","lip",2,5
"72","pink","slipper",3,1,"pink","slipper",8,3
"73","pink","towel",3,1,"pink","towel",2,3
"74","red","crayon",3,1,"red","crayon",18,3.5
"75","red","hat",3,1,"red","hat",21,3.5
"76","red","scissor",3,1,"red","scissor",4,3.25
"77","red","truck",3,1,"red","truck",9,3.25
