...1,doc_id,adj_token_id,noun_token_id,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,time,subject,session,person
1,10220100345,2,3,red,car,car,NA,TRUE,red,ldp_parent_utts_udpipe,red,car,NA,22,1,parent
2,10220100998,6,7,dolphin,show,show,NA,TRUE,dolphin,ldp_parent_utts_udpipe,dolphin,show,NA,22,1,parent
3,10220200089,5,6,back,back,back,NA,TRUE,back,ldp_parent_utts_udpipe,back,back,NA,22,2,parent
4,10220200214,4,5,puppy,dogs,dog,NA,TRUE,puppy,ldp_parent_utts_udpipe,puppi,dog,00:08:06,22,2,parent
5,10220201862,5,6,intercom,beep,beep,NA,TRUE,intercom,ldp_parent_utts_udpipe,intercom,beep,NA,22,2,parent
6,10220301004,3,4,woof,woof,woof,NA,TRUE,woof,ldp_parent_utts_udpipe,woof,woof,NA,22,3,parent
7,10220301248,6,7,jungle,gym,gym,NA,TRUE,jungle,ldp_parent_utts_udpipe,jungl,gym,NA,22,3,parent
8,10220301249,4,5,jungle,gym,gym,NA,TRUE,jungle,ldp_parent_utts_udpipe,jungl,gym,NA,22,3,parent
9,10220301354,7,8,baby,girl,girl,NA,TRUE,baby,ldp_parent_utts_udpipe,babi,girl,NA,22,3,parent
10,10220400013,7,8,orange,color,color,NA,TRUE,orange,ldp_parent_utts_udpipe,orang,color,NA,22,4,parent
11,10220400458,6,7,bear,hunt,hunt,NA,TRUE,bear,ldp_parent_utts_udpipe,bear,hunt,NA,22,4,parent
12,10220400521,7,8,bear,hunt,hunt,NA,TRUE,bear,ldp_parent_utts_udpipe,bear,hunt,00:15:22,22,4,parent
13,10220400545,7,8,bear,hunt,hunt,NA,TRUE,bear,ldp_parent_utts_udpipe,bear,hunt,NA,22,4,parent
14,10220400574,7,8,bear,hunt,hunt,NA,TRUE,bear,ldp_parent_utts_udpipe,bear,hunt,00:16:24,22,4,parent
15,10220400583,2,4,thick,mud,mud,NA,FALSE,thick,ldp_parent_utts_udpipe,thick,mud,NA,22,4,parent
