doc_id,sentence,adj,noun,coder_id
10220100068,oop ba!,oop,ba,udpipe
10220100095,why don't we go and play with the real toys?,real,toys,udpipe
10220100108,I'll give you your own cereal.,own,cereal,udpipe
10220100148,is your keppie okay?,keppie,okay,udpipe
10220100214,your kappy okay?,kappy,okay,udpipe
10220100215,a little bump?,little,bump,udpipe
10220100238,funny girl.,funny,girl,udpipe
10220100239,are you mama's funny girl?,funny,girl,udpipe
10220100267,"cause there was, like, a loose connection.",loose,connection,udpipe
10220100282,you know Kaiu and Zevy are the same age?,same,age,udpipe
10220100284,to real school?,real,school,udpipe
10220100290,good girl!,good,girl,udpipe
10220100291,good girl!,good,girl,udpipe
10220100316,you can do it in the other room.,other,room,udpipe
10220100345,the red car?,red,car,udpipe
10220100369,good girl.,good,girl,udpipe
10220100370,can you say good girl?,good,girl,udpipe
10220100450,you know how many pictures I have of you?,many,pictures,udpipe
10220100534,do you want to go and get those little statue toys that she likes?,little,toys,udpipe
10220100535,the little Sesame Street characters?,little,characters,udpipe
10220100535,the little Sesame Street characters?,sesame,characters,udpipe
10220100602,Zevy has his own helmet.,own,helmet,udpipe
10220100613,very good helper.,good,helper,udpipe
10220100749,what sound does an elephant make?,elephant,make,udpipe
10220100804,"Tic, toc, tic toc.",tic,toc,udpipe
10220100810,"it's almost the exact same toy, Zevy.",exact,toy,udpipe
10220100810,"it's almost the exact same toy, Zevy.",same,toy,udpipe
10220100811,it's made by a different company.,different,company,udpipe
10220100814,you put too many balls in it.,many,balls,udpipe
10220100818,you guys put the wrong balls in here.,wrong,balls,udpipe
10220100901,good girl.,good,girl,udpipe
10220100903,good girl!,good,girl,udpipe
10220100905,is that a good show?,good,show,udpipe
10220100907,good girl.,good,girl,udpipe
10220100909,good girl.,good,girl,udpipe
10220100962,tell her you were reading stories last night to Zevy so you couldn't call her.,last,night,udpipe
10220100986,"I mean, even real, live ones.",real,ones,udpipe
10220100986,"I mean, even real, live ones.",live,ones,udpipe
10220100998,you know they have the dolphin show?,dolphin,show,udpipe
10220101043,good girl.,good,girl,udpipe
10220101077,it's good music!,good,music,udpipe
10220101111,"Zevy, you have taught her a bad way to go down.",bad,way,udpipe
10220101120,and your other shoes are here?,other,shoes,udpipe
10220101122,there's too many shoes laying around.,many,shoes,udpipe
10220101129,if you're not going to go down the proper way,proper,way,udpipe
10220101171,it's such a pretty day.,pretty,day,udpipe
10220101172,do you want to go outside for a few minutes?,few,minutes,udpipe
10220101224,can you say good girl?,good,girl,udpipe
10220101225,good girl!,good,girl,udpipe
10220101228,good girl.,good,girl,udpipe
10220101236,the whole point is that it is supposed to be snug on your head.,whole,point,udpipe
10220200025,stand up you silly girl.,silly,girl,udpipe
10220200145,Birdy right.,birdy,right,udpipe
10220200214,where's the puppy dogs?,puppy,dogs,udpipe
10220200234,"oh, more dogs!",more,dogs,udpipe
10220200273,"ooh, these are funny animals.",funny,animals,udpipe
10220200328,they just make funny faces.,funny,faces,udpipe
10220200344,it's 'Mary had a little lamb.',little,lamb,udpipe
10220200377,who's my favorite girl?,favorite,girl,udpipe
10220200400,and put the other book back then.,other,book,udpipe
10220200406,good girl.,good,girl,udpipe
10220200519,is that baby Anielle?,baby,anielle,udpipe
10220200612,those are supposed to be like sticky paste.,sticky,paste,udpipe
10220200627,"dinosaur, very good.",good,dinosaur,udpipe
10220200652,"well, look on the other baby and see if she has shoes on.",other,baby,udpipe
10220200664,are they pretty shoes?,pretty,shoes,udpipe
10220200688,big bird!,big,bird,udpipe
10220200793,"how many times can you read the same book, girl?",many,times,udpipe
10220200793,"how many times can you read the same book, girl?",same,book,udpipe
10220200800,diddle diddle?,diddle,diddle,udpipe
10220200942,"pick up the whole thing, right.",whole,thing,udpipe
10220201016,"ah, that was a funny face.",funny,face,udpipe
10220201017,do you make a funny face for me?,funny,face,udpipe
10220201018,let me see your funny face.,funny,face,udpipe
10220201127,who is my favorite girl?,favorite,girl,udpipe
10220201128,who is my favorite girl?,favorite,girl,udpipe
10220201167,who's the cutest girl?,cutest,girl,udpipe
10220201201,is it beautiful hair?,beautiful,hair,udpipe
10220201216,"I got that cute tushie, I got that cute tushie.",cute,tushie,udpipe
10220201216,"I got that cute tushie, I got that cute tushie.",cute,tushie,udpipe
10220201718,do you want to look at other pictures?,other,pictures,udpipe
10220201777,you want the big phone?,big,phone,udpipe
10220201824,boy you are such a bossy girl.,bossy,girl,udpipe
10220201825,you're such a bossy girl.,bossy,girl,udpipe
10220201867,no matter how many times I say it.,many,times,udpipe
10220201874,"phone, very good.",good,phone,udpipe
10220300024,you put your little legs up here?,little,legs,udpipe
10220300191,are you my little gymnast?,little,gymnast,udpipe
10220300305,"oh, you're such a big girl.",big,girl,udpipe
10220300323,do you want more pizza?,more,pizza,udpipe
10220300324,do you want more pizza?,more,pizza,udpipe
10220300390,who's your favorite book?,favorite,book,udpipe
10220300395,go get your favorite book.,favorite,book,udpipe
10220300422,what does an elephant say?,elephant,say,udpipe
10220300425,what does an elephant say?,elephant,say,udpipe
10220300486,it's sort of a bad drawing of a rabbit.,bad,drawing,udpipe
10220300502,I know how you like the messy things.,messy,things,udpipe
10220300583,one more time?,more,time,udpipe
10220300644,"there, that's the right book.",right,book,udpipe
10220300756,what did you say the other day that you freaked me out?,other,day,udpipe
10220300773,"go get me the red thing to put all the cards in, okay?",red,thing,udpipe
10220300776,"run, run run",run,run,udpipe
10220300776,"run, run run",run,run,udpipe
10220300783,"thank+you, big shot.",big,shot,udpipe
10220300785,"no, no more cards out.",more,cards,udpipe
10220300786,no more cards.,more,cards,udpipe
10220300797,good girl.,good,girl,udpipe
10220300800,good listening.,good,listening,udpipe
10220300804,that was such good listening.,such,listening,udpipe
10220300804,that was such good listening.,good,listening,udpipe
10220300809,how many cards go in here?,many,cards,udpipe
10220300933,"more Mommies, right.",more,mommies,udpipe
10220300942,tickle bird.,tickle,bird,udpipe
10220300946,a little soprano there.,little,soprano,udpipe
10220301012,more doggies?,more,doggies,udpipe
10220301022,"last time you wrote, you wrote all over your hanties?",last,time,udpipe
10220301024,remember you put the blue pen on your hanty?,blue,pen,udpipe
10220301039,ok sit.,ok,sit,udpipe
10220301066,one more time?,more,time,udpipe
10220301112,thanks for the cough too.,cough,thanks,udpipe
10220301150,"that's very good, you smart girl.",smart,girl,udpipe
10220301204,you crazy girl.,crazy,girl,udpipe
10220301249,am I a jungle gym to climb on?,jungle,gym,udpipe
10220301281,oh good girl.,good,girl,udpipe
10220301303,good job!,good,job,udpipe
10220301304,you actually did a good job.,good,job,udpipe
10220301354,"they're driving me nuts, baby girl.",baby,girl,udpipe
10220301362,good girl.,good,girl,udpipe
10220301368,good girl.,good,girl,udpipe
10220301388,do you have a real drum?,real,drum,udpipe
10220301391,go get your musical instruments.,musical,instruments,udpipe
10220301394,can you get your musical instrument?,musical,instrument,udpipe
10220301458,were you looking for her musical approval?,musical,approval,udpipe
10220301484,"go be a big girl and turn it off, okay?",big,girl,udpipe
10220301493,"you're a kissy girl, aren't you?",kissy,girl,udpipe
10220301510,you and this stupid tv.,stupid,tv,udpipe
10220301573,you're getting to be a big girl.,big,girl,udpipe
10220301574,who's -- you're mama's big girl?,big,girl,udpipe
10220301575,are you mama's big girl?,big,girl,udpipe
10220400013,I didn't know you knew orange color.,orange,color,udpipe
10220400095,pretty flowers.,pretty,flowers,udpipe
10220400096,"""flutter flitter flitter""",flutter,flitter,udpipe
10220400124,"""here's a squiggly little worm.""",little,worm,udpipe
10220400159,did you fall the other day?,other,day,udpipe
10220400183,that's a hard word.,hard,word,udpipe
10220400206,is that a real spider?,real,spider,udpipe
10220400228,bad spider.,bad,spider,udpipe
10220400230,can you do that itsy bitsy spider thing with your hand?,itsy,thing,udpipe
10220400231,"""the itsy bitsy spider crawls up the water""",itsy,spider,udpipe
10220400231,"""the itsy bitsy spider crawls up the water""",bitsy,spider,udpipe
10220400284,how many legs does he have?,many,legs,udpipe
10220400306,I have -- how many legs does mommy have?,many,legs,udpipe
10220400308,how many legs do you have?,many,legs,udpipe
10220400316,how many legs does mama have?,many,legs,udpipe
10220400322,"how many times are you going to look at the spider, silly girl?",many,times,udpipe
10220400322,"how many times are you going to look at the spider, silly girl?",silly,girl,udpipe
10220400421,this was Zevy's book when he was little.,little,book,udpipe
10220400422,"""I'm a little kanga "" --",little,kanga,udpipe
10220400429,"""I'm a little kangaroo.""",little,kangaroo,udpipe
10220400445,"""I'm a little kangaroo.""",little,kangaroo,udpipe
10220400446,"""I live in a big country called -- called Australia.""",big,country,udpipe
10220400458,we're going on a bear hunt?,bear,hunt,udpipe
10220400460,"a big, cold, dark, forest?",big,forest,udpipe
10220400461,stumble trip stumble trip stumble trip,stumble,trip,udpipe
10220400461,stumble trip stumble trip stumble trip,stumble,trip,udpipe
10220400521,"""we're going on a bear hunt we're gonna catch a -- """,bear,hunt,udpipe
10220400545,"""we're going on a bear hunt""",bear,hunt,udpipe
10220400561,we're not at the mud part.,mud,part,udpipe
10220400562,"""a deep cold river""",deep,river,udpipe
10220400562,"""a deep cold river""",cold,river,udpipe
10220400574,"""we're going on a bear hunt we're gonna catch a -- """,bear,hunt,udpipe
10220400583,"""thick oozy mud.""",thick,mud,udpipe
10220400583,"""thick oozy mud.""",oozy,mud,udpipe
10220400611,"""a big dark forest""",big,forest,udpipe
10220400611,"""a big dark forest""",dark,forest,udpipe
10220400617,"""stumble trip stumble trip stumble trip stumble trip""",stumble,trip,udpipe
10220400617,"""stumble trip stumble trip stumble trip stumble trip""",stumble,trip,udpipe
10220400621,"""bear hunt""",bear,hunt,udpipe
10220400651,"""we're going on a bear hunt""",bear,hunt,udpipe
10220400661,"""a narrow gloomy cave""",narrow,cave,udpipe
10220400673,"""two big furry -- """,big,furry,udpipe
10220400676,"""two big googly -- """,big,googly,udpipe
10220400680,"""it's a bear arrggh!""",bear,arrggh,udpipe
10220400683,"""back through the forest stumble trip stumble trip stumble trip""",stumble,trip,udpipe
10220400687,"""get to the front door open the door up the stairs""",front,door,udpipe
10220400694,"""we're not going on a bear hunt ever a -- """,bear,hunt,udpipe
10220400717,"but that was a real bear they saw, right?",real,bear,udpipe
10220400721,well this is a hard book to read.,hard,book,udpipe
10220400726,Splishy splashy.,splishy,splashy,udpipe
10220400779,stumble trip stumble trip.,stumble,trip,udpipe
10220400779,stumble trip stumble trip.,stumble,trip,udpipe
10220400807,the cave's on the next page.,next,page,udpipe
10220400823,a big bear!,big,bear,udpipe
10220400826,you know big bears -- they can really eat you up.,big,bears,udpipe
10220400833,"one shiny, wet --",wet,shiny,udpipe
10220400836,two big furry --,big,furry,udpipe
10220400839,two big goggly --,big,goggly,udpipe
10220400857,"""back through the forest stumble trip stumble trip stumble trip""",stumble,trip,udpipe
10220400919,stumble trip stumble trip.,stumble,trip,udpipe
10220400919,stumble trip stumble trip.,stumble,trip,udpipe
10220400935,on the third shelf down.,third,shelf,udpipe
10220400937,do you see that green box?,green,box,udpipe
10220400939,it's on top of the green box.,green,box,udpipe
10220400946,on the next one down.,next,down,udpipe
10220400948,"Anielle, where's the green box?",green,box,udpipe
10220400989,you put it in the right spot.,right,spot,udpipe
10220401000,it's a little thin puzzle.,little,puzzle,udpipe
10220401000,it's a little thin puzzle.,thin,puzzle,udpipe
10220401001,it's not like those wooden ones that mama gives you.,wooden,ones,udpipe
10220401137,we're not doing any more tadums.,more,tadums,udpipe
10220401259,put a little ketchup on mommy?,little,ketchup,udpipe
10220401309,I don't think it will fit there because there's tall things there.,tall,things,udpipe
