adj,noun
good,girl
good,dinosaur
cute,tushie
good,job
musical,instrument
itsy,spider
itsy,water
bitsy,spider
bitsy,water
big,bears
little,puzzle
thin,puzzle
nice,party
good,lots
good,treats
little,bit
little,white
little,bottom
little,grass
little,trunk
little,boy
clean,house
clean,bit
little,house
yummy,honey
yummy,tummy
wonderful,group
wonderful,time
wonderful,gifts
wonderful,songs
easier,surface
hard,surface
sure,boy
hot,popsicle
hot,yuck
nice,word
rotten,tomato
long,rabbit
long,ears
long,sounds
smallest,rabbit
smallest,ears
smallest,sounds
little,rabbit
little,ears
little,sounds
most,frogs
most,legs
most,insects
most,tongues
long,frogs
long,legs
long,insects
long,tongues
sticky,frogs
sticky,legs
sticky,insects
sticky,tongues
right,moon
right,size
important,day
important,visitor
important,school
yummy,juice
apple,juice
important,man
important,call
brown,bear
brown,bird
brown,duck
brown,horse
brown,frog
brown,cat
brown,dog
brown,sheep
brown,goldfish
brown,teacher
red,bear
red,bird
red,duck
red,horse
red,frog
red,cat
red,dog
red,sheep
red,goldfish
red,teacher
yellow,bear
yellow,bird
yellow,duck
yellow,horse
yellow,frog
yellow,cat
yellow,dog
yellow,sheep
yellow,goldfish
yellow,teacher
blue,bear
blue,bird
blue,duck
blue,horse
blue,frog
blue,cat
blue,dog
blue,sheep
blue,goldfish
blue,teacher
green,bear
green,bird
green,duck
green,horse
green,frog
green,cat
green,dog
green,sheep
green,goldfish
green,teacher
purple,bear
purple,bird
purple,duck
purple,horse
purple,frog
purple,cat
purple,dog
purple,sheep
purple,goldfish
purple,teacher
white,bear
white,bird
white,duck
white,horse
white,frog
white,cat
white,dog
white,sheep
white,goldfish
white,teacher
black,bear
black,bird
black,duck
black,horse
black,frog
black,cat
black,dog
black,sheep
black,goldfish
black,teacher
adorable,pajamas
adorable,tooth
little,pajamas
little,tooth
orange,tea
new,batteries
little,part
little,tree
ok,job
plain,paper
plain,Zoe
ok,paper
ok,Zoe
different,babies
different,food
different,grownups
next,brushes
next,time
next,paintbrushes
hard,brushes
hard,time
hard,paintbrushes
able,brushes
able,time
able,paintbrushes
small,fish
pink,scooter
straight,line
ready,chicks
open,space
real,months
cold,months
cold,day
cold,storm
cold,garden
clear,plastic
clear,water
orange,NA
yellow,NA
good,boy
good,sweater
good,folder
enough,sweater
enough,folder
nice,track
big,track
big,thing
big,middle
big,floor
good,kick
long,hair
curly,hair
bad,guy
straight,outside
loud,noise
little,piece
little,head
little,goof
long,pieces
long,time
long,puzzle
small,a@l
small,words
great,job
good,kind
good,stuff
icky,candles
icky,day
good,grapes
good,juice
hot,let
hot,dog
hot,telephone
hot,half
purple,hat
blue,sky
little,video
pretty,balls
red,penguin
brown,floor
better,idea
wet,rug
small,box
big,boy
top,part
top,hat
big,ones
big,bag
little,ones
little,bag
green,grass
delicious,cake
awful,lot
awful,balloons
bottom,house
different,lots
different,grasses
different,trees
different,jungle
blue,car
good,idea
orange,car
bigger,car
messy,bit
great,shape
great,egg
great,ovals
