adj,noun
good,girl
good,dinosaur
cute,tushie
good,job
musical,instrument
itsy,spider
bitsy,spider
big,bears
little,puzzle
thin,puzzle
good,treats
little,bit
little,grass
little,boy
wonderful,time
hard,surface
hot,popsicle
nice,word
rotten,tomato
long,ears
little,sounds
most,frogs
long,legs
sticky,tongues
right,size
important,visitor
yummy,juice
apple,juice
important,call
brown,bear
red,bird
yellow,duck
blue,horse
green,frog
purple,cat
white,dog
black,sheep
adorable,pajamas
little,tooth
orange,tea
new,batteries
little,part
ok,job
plain,paper
ok,Zoe
different,food
next,time
small,fish
pink,scooter
straight,line
real,months
cold,months
cold,storm
clear,plastic
good,boy
nice,track
big,track
big,thing
good,kick
long,hair
curly,hair
bad,guy
loud,noise
little,piece
long,time
small,a@l
great,job
icky,day
good,grapes
good,juice
hot,dog
purple,hat
pretty,balls
red,penguin
better,idea
wet,rug
small,box
big,boy
top,part
big,ones
little,ones
green,grass
awful,lot
bottom,house
different,grasses
blue,car
good,idea
orange,car
bigger,car
great,shape
big,book
whole,week
stinky,pigs
special,card
next,year
red,onions
big,tomatoes
little,tomatoes
own,rules
long,game
silly,boy
small,j@l
good,bud
small,letters
yellow,trucks
loud,games
nice,sound
cold,water
happy,baby
first,letter
hard,sound
playful,penguins
nice,noise
little,fireflies
little,hole
big,truck
good,time
little,eyes
clean,pants
little,trees
new,chair
new,shoes
little,girl
biggest,plant
finest,potato
big,pair
old,pair
big,teeth
white,ball
red,hat
whale,hat
little,rougher
silly,horse
hot,tea
cold,tea
little,pieces
real,conversation
cold,juice
warm,cereal
hot,cocoa
big,boys
big,bite
little,balls
pink,balls
pretty,songbirds
happy,song
little,friends
lost,boys
last,spoonful
great,celebration
brown,oatmeal
new,socks
wonderful,idea
pretty,color
extra,paint
big,bird
small,dinosaurs
new,pictures
big,tongue
pink,tongue
little,hand
good,pieces
little,bowl
little,hook
behavioral,therapy
little,handle
same,color
hot,balloon
red,balloon
little,kittens
little,bump
hot,food
black,dot
own,pizza
personal,pizza
green,fishie
little,butterflies
stinky,feet
scary,eyes
yellow,shoe
sunny,day
very,day
due,day
new,teeth
old,tv
remote,control
big,guy
white,sleepy
sleepy,sheep
white,sheep
red,light
big,train
blue,train
big,whistle
loud,whistle
little,dollies
Mexican,cheese
big,bunch
new,pencils
red,apple
big,person
enough,paper
more,pink
different,color
next,month
slowest,game
whole,way
whole,name
big,standing
big,girl
smooth,side
enough,hair
good,bread
odd,parents
purple,star
old,towel
silly,girl
little,kids
straight,lines
curvy,lines
wavy,lines
excellent,woman
great,help
profitable,one
black,dots
new,books
old,lady
old,socks
silly,name
green,doggy
good,day
clean,hair
dirty,hair
different,song
green,dog
green,horse
second,floor
blue,box
little,piggy
tall,grass
yellow,duckling
same,picture
great,idea
last,cracker
good,manners
dark,tunnel
little,fish
messy,cheese
big,pickles
little,punch
red,wheel
dark,clouds
old,sevenandahalf
big,people
interwoven,pieces
more,time
little,pinball
yellow,train
red,wheels
yellow,wheels
