doc_id,sentence,adj_lower,noun_token
10220100352,"on the Mazda, it was worth fixing.",worth,ROOT
10220100356,it's too low down to the ground.,low,ROOT
10220101113,it isn't safe for her to go down that way.,safe,ROOT
10220101235,that helmet is so loose that if you fell it would do nothing to protect you.,loose,ROOT
10220200721,"you're right, that's a piano sound.",right,ROOT
10220201760,careful you're going to break the glass.,careful,ROOT
10220300204,"we're sick of your headstands, thank+you.",sick,ROOT
10220301150,"that's very good, you smart girl.",good,ROOT
10220400134,"""are all so quick they might give you a start.""",quick,ROOT
10220400204,who's afraid of spiders?,afraid,ROOT
10220400372,"ooh, it bent it's legs.",bent,ROOT
10220400681,"""quick back through the gate tip toe tip toe tip toe tip toe""",quick,ROOT
10220400713,they're afraid of the bear.,afraid,ROOT
10220401471,that was nice that they gave you one considering that you weren't even invited to the party.,nice,ROOT
10220500041,"""one morning, Thomas's driver was particularly excited.""",excited,ROOT
10220500050,"well, tigers can be dangerous but they're pretty, aren't they?",dangerous,ROOT
10220500064,"""he was sad to see the tigers go.""",sad,ROOT
10220500065,"""he was proud to carry such noble and beautiful animals.""",proud,ROOT
10220500137,that's ink -- for his pen.,ink,ROOT
10220500239,"it's sort of close, but it's -- I think it's supposed to be the color grey.",close,ROOT
10220500410,"they're like, really big in the sky.",like,ROOT
10220500605,"mama's so happy the minute she sees the sun, right?",happy,ROOT
10220501031,"yeah, but it's bigger than the other one.",bigger,ROOT
10220501337,who's favorite color is green?,green,ROOT
10220501674,well then Zevvy's sad because he wants me to put him to bed.,sad,ROOT
10220502430,"well, her breasts are naked so could -- should we clothe -- cover her up?",naked,ROOT
10220600056,"ok, you ready to read the book?",ready,ROOT
10220600441,your legs are red?,red,ROOT
10220600447,your tights are red.,red,ROOT
10220600571,all they do is swim in that bowl.,swim,ROOT
10220600641,"you're pretty good at puzzles, aren't you?",good,ROOT
10220600740,"ok, but you want to put it next to the rest of the rain+bow!",ok,ROOT
10220600894,it's orange and here's the orange part of the ark so can you put that together?,orange,ROOT
10220601128,that's blue and it has ducks in it.,blue,ROOT
10220601527,"""when they are about four months old, they being to eat some plants too.""",old,ROOT
10220601876,"oh, I'm glad you're putting things back.",glad,ROOT
10220602010,it's good to have them at different levels.,good,ROOT
10220700110,are you whiny because you're tired from camp?,whiny,ROOT
10220700604,your tongue is hot?,hot,ROOT
10220700998,clean the house a little bit.,clean,ROOT
10220701303,you're tired of business?,tired,ROOT
10220800169,a sub is short for a submarine.,short,ROOT
10220800194,that's big u@l little u@l right?,big,ROOT
10220800458,is your back ok?,ok,ROOT
10220800524,good covering your mouth.,good,ROOT
10220800724,it's easier to do in the hard surface.,easier,ROOT
10220800725,"the carpeting's not hard enough, so it moves on you.",enough,ROOT
10220800972,"boy, when you think of something, you're pretty sure of yourself.",sure,ROOT
10220801117,it would be better than living in a house without walls or doors.,better,ROOT
10220900063,but these puzzles are hard for you.,hard,ROOT
10220900202,is that flat on one side?,flat,ROOT
10220900349,ok we'll slide this one in here.,ok,ROOT
10220900474,it's easier to do when you find all your corners.,easier,ROOT
10220900755,are you ticklish on your feet?,ticklish,ROOT
10220900780,they're right on top of there now.,right,ROOT
10220900820,it's hard -- that's why it's a hard puzzle.,hard,ROOT
10220900897,"you're right, bunny rabbits are very quiet.",right,ROOT
10220901037,"oh, you're right, potatoes don't really have anything.",right,ROOT
10220901216,we might be able to use this as a top.,able,ROOT
10220901242,it will be ready in four minutes?,ready,ROOT
10220901623,I'm twelve years old.,old,ROOT
10220901625,am I twelve years old?,old,ROOT
10220901881,ok I have a hard one for you.,ok,ROOT
10221000700,jungle gyms are outside in backyards.,outside,ROOT
10221000983,ok but I want to hear a quiet clock.,ok,ROOT
10221001067,ok then no one's going to use it.,ok,ROOT
10221001119,ok how about -- how about a break and everyone gets a Freeze_Pop.,ok,ROOT
10221001441,this is like not meant to be kids.,like,ROOT
10221001529,you guys are silly.,silly,ROOT
10221001567,Anielle one day walked into the room like --,anielle,ROOT
10221001595,my hearing's really good.,good,ROOT
10221001646,ok our eggs will be ready in just a few minutes.,ready,ROOT
10221001792,where it's white and the the middle is yellow and orange and loose.,white,ROOT
10221100186,"snail is slow, so when he's scared, within his shell he'll hide.",slow,ROOT
10221100202,these dragon+flies are all so quick.,quick,ROOT
10221100431,ok and you get the one you want and I'll put this one away.,ok,ROOT
10221100685,are you sure it wasn't a chipmunk that got in when they opened the door?,sure,ROOT
10221100728,lady+bugs can be orange red or yellow.,red,ROOT
10221100730,that's why lady+bugs are good to have.,good,ROOT
10221100771,"ok, if I close your eyes can you spell frog still?",ok,ROOT
10221100832,that would be cool if there really was a ladder that could go all the way to the moon.,cool,ROOT
10221100951,her father right?,right,ROOT
10221101093,that's too big to put on that table Ani@n.,big,ROOT
10221101173,"Rubber+ducky, you're my very best friend.",ducky,ROOT
10221101179,bed+time is great.,great,ROOT
10221101181,"Elmo, safe in your bed.",safe,ROOT
10221101192,"Elmo, safe in your bed.",safe,ROOT
10221101200,so I won't be upset with you today.,upset,ROOT
10221101396,"yeah his mom would have been upset if I killed him, wouldn't she?",upset,ROOT
10221101446,ok I'll go sit on the couch.,ok,ROOT
10221200053,what is wrong with our fish.,wrong,ROOT
10221200248,it's not flat on one side.,flat,ROOT
10221200282,you're better at the puzzle than me.,better,ROOT
10221200453,she's really good at puzzles.,good,ROOT
10221200653,I'm a really good at fanning.,good,ROOT
10221200753,"ok, Anielle@n, pick one of the cards from her hand.",ok,ROOT
10221200871,how+about you do the tap dance ok?,ok,ROOT
10221200883,"ok good, we've left this on for about a week.",good,ROOT
10221201139,it is hot at the hotel.,hot,ROOT
10221201169,only Bridget-'s wet bathing suit is left.,left,ROOT
