"","stemTargets","prototypical","semitypical","lesstypical","lesstypical2"
"1","carrot","orange","purple","white","white"
"2","appl","red","green","pink","pink"
"3","banana","yellow","green","brown","brown"
"4","grape","purple","green","red","red"
"5","tiger","orange","white","white","white"
"6","sky","blue","grey","orange","pink"
"7","grass","green","brown","grey","grey"
"8","pumpkin","orange","white","brown","brown"
"9","corn","yellow","purple","white","white"
"10","tomato","red","orange","green","green"
"11","egg","white","brown","brown","brown"
"12","bear","brown","black","white","white"
"13","cloud","white","grey","grey","grey"
