noun,adj,turker_judgment,wiki_similarity,ldp_similarity
cow,brown,3.5,0.4645167589187622,0.3052777051925659
bear,brown,5.0,0.5014764666557312,0.3382605016231537
page,brown,2.6666666666666665,0.19681118428707123,0.11384835839271545
horse,brown,4.75,0.4426470696926117,0.2927376627922058
bird,brown,3.5,0.42496761679649353,0.43127837777137756
cat,brown,3.6666666666666665,0.4511677920818329,0.3773975968360901
duck,brown,4.0,0.4686472415924072,0.42729365825653076
frog,brown,3.3333333333333335,0.42744290828704834,0.44993212819099426
goldfish,brown,2.8,0.4069448709487915,0.3343842923641205
hair,brown,4.25,0.5403850674629211,0.13631704449653625
sheep,brown,3.5,0.4444607198238373,0.4345196783542633
tree,brown,4.75,0.39362162351608276,0.25725218653678894
ant,brown,5.333333333333333,0.4142645001411438,0.330503910779953
aspen,brown,3.75,0.40527698397636414,-0.0064242249354720116
dog,brown,4.5,0.46892499923706055,0.24746902287006378
dot,brown,3.0,0.4275878071784973,0.6261246800422668
shoe,brown,4.25,0.43997377157211304,0.1677519530057907
circle,brown,2.5,0.38732972741127014,0.44992974400520325
crayon,brown,3.25,0.4915958046913147,0.46550387144088745
eye,brown,3.3333333333333335,0.45320677757263184,0.17172150313854218
fish,brown,2.5,0.4625837504863739,0.383529394865036
floor,brown,3.25,0.3503420352935791,-0.05090475454926491
fur,brown,4.0,0.4443458914756775,0.48303988575935364
grass,brown,3.5,0.47488272190093994,0.22666551172733307
monkey,brown,5.0,0.44684651494026184,0.27150067687034607
mud,brown,5.0,0.4524557888507843,0.10576841980218887
mustache,brown,4.75,0.42094096541404724,0.4303218424320221
oatmeal,brown,5.0,0.4890708327293396,0.2775208652019501
path,brown,3.75,0.3435519337654114,0.18147976696491241
bed,brown,2.75,0.35640811920166016,-0.2209387570619583
basket,brown,4.25,0.34237873554229736,0.06383506208658218
closet,brown,3.6666666666666665,0.3737756907939911,-0.06592761725187302
ear,brown,4.25,0.3431219160556793,0.09250159561634064
hall,brown,2.5,0.37557318806648254,-0.11726898699998856
light,brown,2.0,0.5284282565116882,0.2919825315475464
sofa,brown,3.0,0.3850468099117279,0.0033584071788936853
sugar,brown,4.333333333333333,0.47742724418640137,0.4259294867515564
belt,brown,4.5,0.44126978516578674,0.05436234921216965
kitty,brown,4.8,0.4145449697971344,0.30928459763526917
paper,brown,3.5,0.4633847177028656,0.2045464962720871
table,brown,3.25,0.3851819336414337,-0.024750664830207825
hand,brown,3.25,0.39136600494384766,0.047701332718133926
orange,brown,2.25,0.6846712231636047,0.6158304810523987
shirt,brown,3.25,0.49380001425743103,0.11626142263412476
top,brown,3.0,0.39295974373817444,0.252352774143219
cap,brown,3.75,0.4255511462688446,0.3442366123199463
mountain,brown,3.25,0.4355815649032593,0.1467306911945343
sky,brown,1.0,0.46715113520622253,0.2746078372001648
chair,brown,4.5,0.3790295422077179,-0.07672867178916931
leave,brown,4.5,0.3424709439277649,-0.030645711347460747
penny,brown,6.25,0.3584897220134735,0.2934298813343048
rock,brown,3.0,0.4477200508117676,0.16381286084651947
leaf,brown,3.5,0.49254143238067627,0.4878774881362915
beard,brown,4.0,0.46010899543762207,0.4770151674747467
boot,brown,3.5,0.41478410363197327,0.36949339509010315
cake,brown,3.5,0.4284452199935913,0.35359305143356323
color,brown,3.0,0.5973989367485046,0.3762567937374115
eyebrow,brown,5.0,0.3176290690898895,0.13303717970848083
girl,brown,3.25,0.4662761390209198,0.14689411222934723
spot,brown,3.75,0.418414443731308,0.121764175593853
swing,brown,3.5,0.33365297317504883,-0.0922461524605751
tail,brown,3.75,0.4403848946094513,0.3873582184314728
trunk,brown,2.5,0.40201327204704285,0.3330468535423279
apple,brown,2.5,0.46781185269355774,0.2284051775932312
gravy,brown,4.25,0.44793054461479187,0.4167245328426361
milk,brown,2.0,0.44240227341651917,0.171296626329422
strawberry,brown,1.0,0.5114126801490784,0.4147469401359558
stripe,brown,2.75,0.48087725043296814,0.5702651143074036
egg,brown,4.0,0.44562622904777527,0.3446682393550873
bag,brown,5.0,0.5266604423522949,-0.037788309156894684
bone,brown,1.25,0.3991146981716156,0.4203577935695648
coat,brown,4.5,0.5551573038101196,0.20275044441223145
hip,brown,3.0,0.3342314660549164,0.3711138367652893
honey,brown,4.25,0.4635310173034668,-0.08608444780111313
train,brown,2.5,0.3685879111289978,0.12458456307649612
beach,brown,4.5,0.3670620918273926,0.06923745572566986
blanket,brown,2.75,0.42413124442100525,0.14732082188129425
clump,brown,4.0,0.40497174859046936,0.2808235287666321
hill,brown,3.75,0.40019306540489197,0.02694701962172985
stick,brown,5.0,0.4289969205856323,0.223131000995636
